chem_id,predicted_1-octanol,predicted_butyl acetate,predicted_chloroform,predicted_cyclohexane,predicted_dichloromethane,predicted_triolein,predicted_n-hexane,predicted_n-octane,predicted_oleylalcohol,predicted_toluene,predicted_n-undecane
118.053@4.43,0.441089857414103,0.18436263629691363,-0.17327059100762165,-1.6932863310106885,-0.5086044556887556,-1.1784491888177084,-2.0294098162112038,-1.84653961262212,-0.33145763844486265,-0.7480436868012578,-1.8856075795689344
133.073@0.796,-0.693987733706623,-2.5862266882906524,-1.4487632796676635,,-1.8529752985891308,-0.8682620074606854,,-0.7386659143797188,-1.1022596225769452,,-0.9407819289513261
134.072@2.154,-0.9026705419759872,-2.1555472115820455,0.9965914209307005,,-0.18698804143308143,0.5540830051668281,-0.5161064781020811,-0.30302129645049475,-2.0265744177974465,,
134.072@2.564,1.7291052541331857,-1.2553758178569052,0.44052378445360135,-0.470625658044034,0.2555684453211001,0.7798370364972518,-1.5190219099091429,-0.39058357816551326,0.29271603641515903,-0.21255655884144797,-0.4638005785530053
134.072@8.65,2.5605848908107114,0.9031487170797208,-1.101540881979252,-1.0627324869571424,-2.2865368078032406,-0.6967362372811995,,-0.8835943205619722,1.5008423834422129,0.2050873189268363,-1.1249460154954798
136.088@0.793,2.1820122738888887,,-0.9789264144558095,-0.8084335858497869,-1.367936685247735,,0.02710529292452077,,1.6142401499669479,-1.3778589133415313,-0.2547089436050029
136.088@1.993,-0.0125321410087515,-1.4775368067335004,0.3314782356349953,0.18441771791214223,0.6309207134688855,0.56808623104202,0.33848866543835043,0.21925931544123803,-0.8457949137758572,-0.2732442676654687,0.06273162507092535
136.088@11.413,-0.0476913318789302,,-0.5296185698436532,-1.741834639442705,-1.0521277100702213,-1.106985167853673,-1.5492026791266227,-1.654675605532302,,-1.561124351885712,
136.088@2.733,1.3260650913206893,2.3127502133333846,-0.6607070938517728,-1.2963454130244512,0.1464912680605439,-1.580520421357673,-0.9266106365096731,-0.33055799344487785,1.557364390923365,0.3117520268723334,-1.0900211522333094
136.088@4.525,0.9861715230805527,0.4296651371594181,0.9900859888407023,-1.148324758187756,0.12421590917830301,0.3081721650221184,,-0.938308365872244,-0.3346211350875945,-0.3208952672796346,-1.2529899603631813
136.088@4.644,0.7139018694389698,-1.3105675248688688,0.3338631006966592,-0.762066554559553,0.33331735041269894,-0.09908339069360854,-0.7249783320042872,-1.3339415113692157,-0.6457165293801483,-0.5230756147416807,-1.5221501184131916
136.088@4.935,3.944703533451731,-0.10634624676561819,-0.6458326154676924,-0.8037961832231639,3.9956038857162266,-0.3757482917002743,-0.4451083555481358,-0.08746546555831003,0.3234483826075182,-0.547403594874356,-1.324650893937955
136.088@5.163,,0.3253373371189993,1.0058930707034794,-0.2661125230549465,1.8065485279200155,0.3871554057745492,-0.1243079099297899,,-0.2920501772859492,0.937259244374368,
136.088@5.43,2.3137034142373363,3.415749442716043,-2.479770332328551,-0.8690498758637273,-2.1725532187871908,-0.4080263524275599,-0.2976258972940416,-0.5816743566679762,0.9315953998599973,-3.238273153603838,-1.1885684216240804
138.042@0.793,1.7199277145333756,2.7913240337944965,2.152284593974114,-0.9489084801486242,2.602581923563915,0.5190582877118454,-0.7614389010496744,-0.633848899287469,2.282719397314034,0.8002806760543796,-0.791193468498784
138.042@0.936,1.221298352163283,0.6046941222448785,1.3912799461057448,-0.6660425387323112,1.7592062401468254,0.3730488859210848,-0.5277034762375113,-0.4730835557233356,0.3555036829664916,0.5411484246367299,-0.6071839219091525
146.072@11.412,-0.459238293767586,0.0026165228875822,-0.18841321673984593,-1.542249879231719,-0.32907614473766666,-0.5947592143154199,-1.4775234885506021,-1.5571406487264168,-1.0302348372741312,-1.4480965224646731,-1.4232047553468843
146.073@5.495,1.9652013888634718,1.2345067370591623,0.5496770359222319,-1.138262690723614,0.213217186479543,-0.21001924873232408,-1.0674133180695509,-1.5470067240861503,0.6862141395989015,-0.2642047866455941,-1.6730539161861426
