chem_id,predicted_1-octanol,predicted_butyl acetate,predicted_chloroform,predicted_cyclohexane,predicted_dichloromethane,predicted_triolein,predicted_n-hexane,predicted_n-octane,predicted_oleylalcohol,predicted_toluene,predicted_n-undecane
118.054@4.431,0.9321628878373508,0.360908017438037,0.6431724733884415,-1.3286116986398924,-0.14935956860666488,-0.4514027460407881,-1.4124899647534217,-1.811276560747508,-0.3599854475472132,-0.4719048772999445,-1.6173054959827446
134.074@3.631,2.559998503796798,3.553921605977079,-0.43098079044465837,-0.7619678047991548,-1.025773740710283,-0.3175870663926685,-0.43322746391212064,-0.6911852842533115,1.1236550899123123,0.7988607345894198,-0.9642616381975858
138.043@1.198,1.1498266303331754,0.9626619651562245,0.9525162782994446,-0.5242267707518885,1.3977897897619997,0.35943745996213666,-0.3976925113799113,-0.3754277165052296,0.740713982769762,0.30402943807139726,-0.8941164505654368
138.043@4.402,0.7081737077269862,0.6970175352047678,0.9191658244131949,-1.0091243407330577,0.5845609310994069,-0.24155957528466768,-1.0515216382936237,-1.3974771938443578,0.12280800233097111,-0.3431051714712476,-1.1906755150124348
139.027@5.139,-0.6215565314725295,,1.1918713660271685,-0.66827689308366,0.8847946485957583,0.3039633946297339,-0.935426981007949,,,0.1333572976794525,-1.1578413219833157
158.004@1.657,-0.5368383410534079,-1.6921146797215252,1.836081050900805,-0.706525433947992,-0.3567799108289796,0.22655720739042462,-0.4086157379299203,-0.29842620972381306,-2.0476591996312403,-0.04132725366856036,-0.6788146509802719
166.1@7.704,-0.895101768314144,-1.468840499112725,1.6548478006663612,-1.2424165532780869,0.6172879937962288,-0.2531620372155957,-1.3773947707628325,-1.4089558956593697,-0.43511559107177383,-0.5253250610798939,-3.7870024533273434
166.1@7.91,1.2637107431287378,-0.1796448561104036,0.6351188725733783,-1.1296766632187007,-0.20229199434698958,0.05229716117609299,-0.9034728361007948,-1.538309833753723,0.13093801394556887,-0.704677440956439,-1.4945593630931608
170.026@5.931,1.3919119183764102,0.7424117154565486,0.4695583912608421,-1.2689667920346281,0.3415759253648137,-0.6852085127210655,-1.593922812074865,-1.3872439225835718,-0.025441726377667232,-0.1761813226131178,-1.4470926297192226
180.079@11.412,-0.3128504661182492,-2.074426945099859,,,-1.2405714347118375,-0.09943512159292889,-0.1366161778735521,-0.1977377413730984,-1.0138011195527095,,-0.523835453296039
